index,file_names,data_lens
653,sample653,1479520
654,sample654,61448
655,sample655,58368
656,sample656,36320
657,sample657,613296
658,sample658,53664
659,sample659,57856
660,sample660,132016
661,sample661,75864
662,sample662,51320
663,sample663,51640
664,sample664,98256
665,sample665,63936
666,sample666,50688
667,sample667,52224
668,sample668,25032
669,sample669,176128
670,sample670,1398784
671,sample671,189280
672,sample672,1749120
673,sample673,71680
674,sample674,1288248
675,sample675,223232
676,sample676,47168
677,sample677,93640
678,sample678,293464
679,sample679,54952
680,sample680,169984
681,sample681,81352
682,sample682,77752
683,sample683,56080
684,sample684,34304
685,sample685,39328
686,sample686,56288
687,sample687,21504
688,sample688,375296
689,sample689,145872
690,sample690,68648
691,sample691,78336
692,sample692,757760
693,sample693,43960
694,sample694,83456
695,sample695,78848
696,sample696,1451352
697,sample697,59208
698,sample698,97872
699,sample699,518432
700,sample700,1473536
701,sample701,26848
702,sample702,47232
703,sample703,19968
704,sample704,60992
705,sample705,35176
706,sample706,21504
707,sample707,72704
708,sample708,30168
709,sample709,52800
710,sample710,310560
711,sample711,49688
712,sample712,36864
713,sample713,60608
714,sample714,33280
715,sample715,59904
716,sample716,134656
717,sample717,71680
718,sample718,52208
719,sample719,48440
720,sample720,72792
721,sample721,48840
722,sample722,349184
723,sample723,68944
724,sample724,59904
725,sample725,59208
726,sample726,17376
727,sample727,67328
728,sample728,71056
729,sample729,307712
730,sample730,665912
731,sample731,33280
732,sample732,89600
733,sample733,55128
734,sample734,59848
735,sample735,109400
736,sample736,59968
737,sample737,67368
738,sample738,68952
739,sample739,1975296
740,sample740,89032
741,sample741,138736
742,sample742,175800
743,sample743,107520
744,sample744,957082
745,sample745,377824
746,sample746,120664
747,sample747,64952
748,sample748,38400
749,sample749,388536
750,sample750,64000
751,sample751,80600
752,sample752,807936
753,sample753,48040
754,sample754,46080
755,sample755,36352
756,sample756,98392
757,sample757,644544
758,sample758,58368
759,sample759,48456
760,sample760,70656
761,sample761,37376
762,sample762,46952
763,sample763,23080
764,sample764,49752
765,sample765,42168
766,sample766,259416
767,sample767,52736
768,sample768,42152
769,sample769,40840
770,sample770,622080
771,sample771,167424
772,sample772,639064
773,sample773,38912
774,sample774,71680
775,sample775,58472
776,sample776,45056
777,sample777,42496
778,sample778,53248
779,sample779,712896
780,sample780,158424
781,sample781,167400
782,sample782,238680
783,sample783,72192
784,sample784,51032
785,sample785,52224
786,sample786,226816
